Anio,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total
2019,3,Salta,49000,900000,43160,62230,14309,11418,12357,7515,151938
2019,3,San Juan,22000,171000,68315,2245,1267,41000,128,4779,76968
2019,3,San Luis,57000,100000,18643,5113,467000,62242,5,36075,122702
2019,3,Santa Cruz,28000,84000,31612,4472,1203,27000,4,0000,37430
2019,3,Santa Fe,640000,8184,242454,193286,107068,84325,97082,19537,752576
2019,3,Santiago Del Estero,39000,1832,35554,55172,3612,86000,1836,34501,132632
2019,3,Tierra Del Fuego,6000,14000,32133,4692,1756,82000,226,9648,48557
2019,3,Tucuman,16000,110000,71043,47693,24354,843000,20385,0000,164444
2019,2,Buenos Aires,199768,46852,1436259,217785,438663,502275,985767,43438,3870807
2019,2,Capital Federal,74000,1027,281370,124087,239691,296155,475991,nan,1418395
2019,2,Catamarca,34000,43000,16631,8670,6049,34000,10,2151,33622
2019,2,Chaco,69000,1383,38488,26431,16789,15348,9904,1492,109904
2019,2,Chubut,66000,3952,69032,10049,1495,74000,165,4500,89333
2019,2,Cordoba,81000,8165,248427,100512,157458,170159,76053,8938,769793
2019,2,Corrientes,10000,3012,40424,27774,13114,11928,7119,6080,109461
2019,2,Entre Rios,18000,5905,100687,52316,23196,24221,10664,17206,234213
2019,2,Formosa,1110,349000,26512,5399,8384,2639,2258,100000,46751
2019,2,Jujuy,27000,940000,26233,8441,26700,27000,2600,21765,86733
2019,2,La Pampa,236000,3289,75406,5191,1366,1445,629,2661,90223
2019,2,La Rioja,9000,11000,39819,4297,4857,13000,1298,nan,50304
2019,2,Mendoza,20000,2522,205165,2971,10092,1256,234,nan,222260
2019,2,Misiones,47000,2226,45769,27385,15408,18882,8129,12206,130052
2019,2,Neuquen,302000,3038,61776,4688,17318,21210,14132,422000,122886
2019,2,Rio Negro,384000,1354,86366,2201,10291,12407,6907,18519,138429
2019,2,Salta,49000,974000,59638,36923,16961,14059,6461,7585,142650
2019,2,San Juan,22000,213000,60913,2177,785000,7000,4,6119,70240
2019,2,San Luis,57000,102000,16575,4964,467000,57236,5,37977,117383
2019,2,Santa Cruz,25000,84000,24861,3806,1202,28000,4,nan,30010
2019,2,Santa Fe,321000,8427,300124,125176,129741,100131,49865,22323,736108
2019,2,Santiago Del Estero,39000,1832,63268,21362,3741,108000,1205,34501,126056
2019,2,Tierra Del Fuego,6000,123000,41824,4241,1573,96000,32,nan,47895
2019,2,Tucuman,16000,157000,78891,44296,24291,628000,18394,nan,166673
2019,1,Buenos Aires,162513,72296,1429964,202511,576428,576859,705769,6369,3732709
2019,1,Capital Federal,74000,7417,283787,131007,330122,365713,283463,0000,1401583
2019,1,Catamarca,34000,1708,18761,6443,5606,29000,7,2151,34739
2019,1,Chaco,69000,3801,38719,25632,18965,12393,6368,1035,106982
2019,1,Chubut,66000,3938,71077,6571,787000,74000,165,0000,82678
2019,1,Cordoba,81000,20403,242769,96997,200681,127965,50716,6806,746418
2019,1,Corrientes,10000,6470,38402,26562,15498,9688,5029,0000,101659
2019,1,Entre Rios,18000,9217,107013,50068,28957,18146,7619,12142,233180
